,title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
70,Heroes Of Hellas 4: Birth Of Legend,Bundle info,,,,,(25 reviews),Jaibo Games,Alawar Entertainment,Positive,,"TITLE: Heroes Of Hellas 4: Birth Of Legend
GENRE: Adventure, Casual, Strategy
DEVELOPER: Jaibo Games
PUBLISHER: Alawar Entertainment
FRANCHISE: Alawar Entertainment
RELEASE DATE: 17 Jan, 2018","17 Jan, 2018",Adventure Casual Strategy Match 3 Indie +,
71,A Rite from the Stars,Bundle info,,,,,(15 reviews),Risin' Goat,Phoenix Online Publishing,Positive,,"TITLE: A Rite from the Stars
GENRE: Adventure, Indie
DEVELOPER: Risin' Goat, Flying Beast Labs
PUBLISHER: Phoenix Online Publishing
RELEASE DATE: 19 Jul, 2018","19 Jul, 2018",Adventure Indie Point & Click Multiple Endings +,
72,Road Doom,Bundle info,,,,,(15 reviews),Agelvik,Agelvik,Positive,,"TITLE: Road Doom
GENRE: Action, Casual, Indie
DEVELOPER: Agelvik
PUBLISHER: Agelvik
RELEASE DATE: 18 Aug, 2018","18 Aug, 2018",Indie Action Casual Bullet Hell Shoot 'Em Up +,
73,Kharon's Crypt - Even Death May Die,,,,,,(37 reviews),Hebi Lee,Andromeda Project,Positive,,"TITLE: Kharon's Crypt - Even Death May Die
GENRE: Action, Adventure, Indie, Early Access
DEVELOPER: Hebi Lee
PUBLISHER: Andromeda Project
RELEASE DATE: 5 Jun, 2020
EARLY ACCESS RELEASE DATE: 5 Jun, 2020","5 Jun, 2020",Early Access Metroidvania Souls-like Puzzle +,
74,MIRAGE,,,,,,(18 reviews),MIRAGE VR,MIRAGE VR,Positive,,"TITLE: MIRAGE
GENRE: Casual, Indie, Simulation
DEVELOPER: MIRAGE VR
PUBLISHER: MIRAGE VR
RELEASE DATE: 21 Jun, 2018","21 Jun, 2018",Casual Simulation Indie Music VR +,
75,The Frosty Leaves 寒叶下的薄冰,"0,99€",,,,,(48 reviews),凝冰剑斩,凝冰剑斩,Positive,,"TITLE: The Frosty Leaves 寒叶下的薄冰
GENRE: Indie, RPG
DEVELOPER: 凝冰剑斩
PUBLISHER: 凝冰剑斩
RELEASE DATE: 9 Mar, 2018","9 Mar, 2018",Indie RPG LGBTQ+ Anime RPGMaker +,
76,Star Drift,,,,,,(18 reviews),Catze,Catze,Positive,,"TITLE: Star Drift
GENRE: Action, Indie, Racing, Simulation, Sports
DEVELOPER: Catze
PUBLISHER: Catze
RELEASE DATE: 22 Feb, 2018","22 Feb, 2018",Automobile Sim Racing Sports Action Indie +,
77,The Great Tournament,,,,,,(20 reviews),Hosted Games,Hosted Games,Positive,,"TITLE: The Great Tournament
GENRE: Adventure, Indie, RPG
DEVELOPER: Hosted Games
PUBLISHER: Hosted Games
FRANCHISE: Tales from Magincia
RELEASE DATE: 3 Mar, 2017","3 Mar, 2017",Indie Adventure RPG Text-Based +,
78,The Adventures of Elena Temple: Definitive Edition,Bundle info,,,,,(26 reviews),GrimTalin,GrimTalin,Positive,,"TITLE: The Adventures of Elena Temple: Definitive Edition
GENRE: Adventure, Indie
DEVELOPER: GrimTalin
PUBLISHER: GrimTalin
RELEASE DATE: 15 Mar, 2018","15 Mar, 2018",Adventure Indie Female Protagonist Platformer +,
79,ViSP - Virtual Space Port,,,,,,(20 reviews),Visper Games,Visper Games,Positive,,"TITLE: ViSP - Virtual Space Port
GENRE: Action, Casual, Indie, Strategy
DEVELOPER: Visper Games
PUBLISHER: Visper Games
RELEASE DATE: 28 Feb, 2019","28 Feb, 2019",VR Strategy Indie Singleplayer Sci-fi +,
80,A Turd's Life,,,,,,(10 reviews),Bergie Games,Bergie Games,Positive,,"TITLE: A Turd's Life
GENRE: Action, Early Access
DEVELOPER: Bergie Games
PUBLISHER: Bergie Games
RELEASE DATE: 15 May, 2018","15 May, 2018",Action Early Access +,
81,As We Know It,,,,,,(15 reviews),Jaime Scribbles Games,Jaime Scribbles Games,Positive,,"TITLE: As We Know It
GENRE: Casual, Indie, Simulation
DEVELOPER: Jaime Scribbles Games
PUBLISHER: Jaime Scribbles Games
RELEASE DATE: 8 May, 2019","8 May, 2019",Otome Visual Novel Female Protagonist Sci-fi +,
82,Dr. Cares - Amy's Pet Clinic,Bundle info,,,,,(52 reviews),Nitreal,GameHouse,Mostly Positive,,"TITLE: Dr. Cares - Amy's Pet Clinic
GENRE: Adventure, Casual, Simulation
DEVELOPER: Nitreal, GameHouse
PUBLISHER: GameHouse
FRANCHISE: Dr. Cares
RELEASE DATE: 2 May, 2018","2 May, 2018",Simulation Casual Adventure Medical Sim +,
83,The Take,"9,99€",,,,,(10 reviews),Stuido Studios,Stuido Studios,Positive,,"TITLE: The Take
GENRE: Casual, Indie, Strategy
DEVELOPER: Stuido Studios
PUBLISHER: Stuido Studios
RELEASE DATE: 2 Apr, 2018","2 Apr, 2018",Casual Indie Strategy VR +,
84,BlackSimulator,,,,,,(13 reviews),Justin Fox Media,Justin Fox Media,Positive,,"TITLE: BlackSimulator
GENRE: Adventure, Casual, Indie, RPG, Simulation
DEVELOPER: Justin Fox Media
PUBLISHER: Justin Fox Media
RELEASE DATE: 26 Feb, 2018","26 Feb, 2018",Casual Simulation Adventure RPG Indie +,
85,Data Defense,,,,,,(24 reviews),2Blocks,2Blocks,Positive,,"TITLE: Data Defense
GENRE: Indie, Strategy
DEVELOPER: 2Blocks
PUBLISHER: 2Blocks
RELEASE DATE: 21 Jun, 2019","21 Jun, 2019",Indie Strategy Tower Defense Minimalist RTS +,
86,General Horse and the Package of Doom,,,,,,(22 reviews),Studio spektar,Studio spektar,Positive,,"TITLE: General Horse and the Package of Doom
GENRE: Adventure, Indie
DEVELOPER: Studio spektar, Porcupine Parkour
PUBLISHER: Studio spektar
RELEASE DATE: 23 Jun, 2020","23 Jun, 2020",Indie Adventure Sexual Content FMV Funny +,
87,The Forestale,,,,,,(18 reviews),Yorzh Aleksey,Yorzh Aleksey,Positive,,"TITLE: The Forestale
GENRE: Action, Adventure, Indie
DEVELOPER: Yorzh Aleksey
PUBLISHER: Yorzh Aleksey
RELEASE DATE: 11 Apr, 2019","11 Apr, 2019",Indie Adventure Action Platformer Retro +,
88,Alicia Quatermain 3: The Mystery of the Flaming Gold,,,,,,(23 reviews),Jetdogs Studios,Jetdogs Studios,Positive,,"TITLE: Alicia Quatermain 3: The Mystery of the Flaming Gold
GENRE: Adventure, Strategy
DEVELOPER: Jetdogs Studios, Whalebox
PUBLISHER: Jetdogs Studios
RELEASE DATE: 19 Dec, 2018","19 Dec, 2018",Strategy Adventure Time Management Casual +,
89,Retro Hacker,,,,,,(19 reviews),Matthew Diaz,Matthew Diaz,Positive,,"TITLE: Retro Hacker
GENRE: Simulation
DEVELOPER: Matthew Diaz
PUBLISHER: Matthew Diaz
RELEASE DATE: 13 Aug, 2018","13 Aug, 2018",Simulation Text-Based Hacking Indie +,
90,Space Slingshot VR,,,,,,(16 reviews),Curious Studio,Curious Studio,Positive,,"TITLE: Space Slingshot VR
GENRE: Casual, Indie, Strategy
DEVELOPER: Curious Studio
PUBLISHER: Curious Studio
RELEASE DATE: 3 Apr, 2018","3 Apr, 2018",Strategy Indie Casual VR +,
91,Ashi Wash,"2,39€",,,,,(18 reviews),Two Glass Hams,Two Glass Hams,Positive,,"TITLE: Ashi Wash
GENRE: Casual, Indie
DEVELOPER: Two Glass Hams
PUBLISHER: Two Glass Hams
RELEASE DATE: 30 Apr, 2018","30 Apr, 2018",Indie Casual VR +,
92,Mob War Nazi Golds,,,,,,(15 reviews),RedB94,RedB94,Mixed,,"TITLE: Mob War Nazi Golds
GENRE: Action, Indie
DEVELOPER: RedB94
PUBLISHER: RedB94
RELEASE DATE: 4 Apr, 2018","4 Apr, 2018",Action Indie FPS War Crime +,
93,ADR-Labelling Game,,,,,,(11 reviews),Suomen Kuljetusturva Oy,Suomen Kuljetusturva Oy,Positive,,"TITLE: ADR-Labelling Game
GENRE: Simulation
DEVELOPER: Suomen Kuljetusturva Oy
PUBLISHER: Suomen Kuljetusturva Oy
RELEASE DATE: 12 Apr, 2018","12 Apr, 2018",Simulation Education Automobile Sim Difficult +,
94,Squids Odyssey,Bundle info,,,,,(12 reviews),The Game Bakers,The Game Bakers,Positive,,"TITLE: Squids Odyssey
GENRE: Adventure, Indie, RPG
DEVELOPER: The Game Bakers
PUBLISHER: The Game Bakers
FRANCHISE: The Game Bakers
RELEASE DATE: 5 Sep, 2018","5 Sep, 2018",Adventure RPG Indie Turn-Based Nature +,
95,Kitty Play,Bundle info,,,,,(19 reviews),Cats Who Play,Cats Who Play,Positive,,"TITLE: Kitty Play
GENRE: Adventure, Indie
DEVELOPER: Cats Who Play
PUBLISHER: Cats Who Play
RELEASE DATE: 30 Aug, 2018","30 Aug, 2018",Indie Life Sim Adventure Open World Cats +,
96,My Maid Girlfriend,"8,19€",,,Download,,(23 reviews),Genius inc.,Genius inc.,Positive,,"TITLE: My Maid Girlfriend
GENRE: Adventure, Casual
DEVELOPER: Genius inc.
PUBLISHER: Genius inc.
RELEASE DATE: 3 Sep, 2018","3 Sep, 2018",Casual Adventure Visual Novel Anime +,
97,Berserker's Descent,,,,,,(29 reviews),Rendah Games,Rendah Games,Positive,,"TITLE: Berserker's Descent
GENRE: Action
DEVELOPER: Rendah Games
PUBLISHER: Rendah Games
RELEASE DATE: 18 Sep, 2020
EARLY ACCESS RELEASE DATE: 14 Dec, 2018","18 Sep, 2020",Action Roguelike Action Gore Violent Co-op +,11.0
98,AIdol,Bundle info,,,,,(16 reviews),ebi-hime,ebi-hime,Positive,,"TITLE: AIdol
GENRE: Casual, Indie, Simulation
DEVELOPER: ebi-hime
PUBLISHER: ebi-hime
RELEASE DATE: 23 Apr, 2018","23 Apr, 2018",Casual Simulation Indie Cute Visual Novel +,
99,Morning Never Comes,,,,,,(29 reviews),7 Box Games,7 Box Games,Positive,,"TITLE: Morning Never Comes
GENRE: Action, Indie
DEVELOPER: 7 Box Games
PUBLISHER: 7 Box Games
RELEASE DATE: 6 Apr, 2018","6 Apr, 2018",Indie Action Twin Stick Shooter 2D Difficult +,
100,Storm of Jigsaw Puzzles 拼图风暴,,,,,,(13 reviews),AppleCoffee,AppleCoffee,Positive,,"TITLE: Storm of Jigsaw Puzzles 拼图风暴
GENRE: Casual, Indie, Simulation, Strategy
DEVELOPER: AppleCoffee
PUBLISHER: AppleCoffee
FRANCHISE: 休闲
RELEASE DATE: 17 Oct, 2018","17 Oct, 2018",Casual Indie Simulation Strategy Puzzle +,
101,Dragon's Eye,,,,,,(11 reviews),Pixel Maverick Games,Pixel Maverick Games,Mostly Positive,,"TITLE: Dragon's Eye
GENRE: Action, Indie, Early Access
DEVELOPER: Pixel Maverick Games
PUBLISHER: Pixel Maverick Games
RELEASE DATE: 14 Aug, 2020
EARLY ACCESS RELEASE DATE: 14 Aug, 2020","14 Aug, 2020",Early Access Action Indie Action-Adventure +,
102,Zombie Forest 2,,,,,,(19 reviews),Alexander Tavintsev,Alexander Tavintsev,Positive,,"TITLE: Zombie Forest 2
GENRE: Action, Indie, RPG, Simulation, Strategy
DEVELOPER: Alexander Tavintsev
PUBLISHER: Alexander Tavintsev
RELEASE DATE: 28 May, 2018","28 May, 2018",Action Indie Strategy Simulation RPG +,
103,Risk System,Bundle info,,,,,(23 reviews),"Newt Industries, LLC","Newt Industries, LLC",Positive,,"TITLE: Risk System
GENRE: Action, Indie
DEVELOPER: Newt Industries, LLC
PUBLISHER: Newt Industries, LLC
RELEASE DATE: 14 May, 2019","14 May, 2019",Indie Action Shoot 'Em Up Retro 2D +,
104,Tactics Maiden Remastered,,,,,,(12 reviews),Mangobile,Mangobile,Positive,,"TITLE: Tactics Maiden Remastered
GENRE: RPG, Strategy
DEVELOPER: Mangobile
PUBLISHER: Mangobile
RELEASE DATE: 28 Sep, 2018","28 Sep, 2018",RPG Strategy Turn-Based Tactics +,
105,Heartbreak High: A Break-Up Simulator,Bundle info,,,,,(18 reviews),Good Bit,Good Bit,Positive,,"TITLE: Heartbreak High: A Break-Up Simulator
GENRE: Casual, Indie, Simulation
DEVELOPER: Good Bit, Alec Robbins
PUBLISHER: Good Bit
RELEASE DATE: 21 May, 2018","21 May, 2018",Indie Casual Simulation +,
106,Viking Brothers 2,Bundle info,,,,,(18 reviews),Alawar Stargaze,Alawar Entertainment,Positive,,"TITLE: Viking Brothers 2
GENRE: Adventure, Casual, Indie
DEVELOPER: Alawar Stargaze
PUBLISHER: Alawar Entertainment
FRANCHISE: Alawar Entertainment
RELEASE DATE: 22 Mar, 2017","22 Mar, 2017",Adventure Casual Indie Time Management +,
107,Viking Brothers 3,Bundle info,,,,,(11 reviews),Alawar Stargaze,Alawar Entertainment,Positive,,"TITLE: Viking Brothers 3
GENRE: Adventure, Casual, Indie, Strategy
DEVELOPER: Alawar Stargaze
PUBLISHER: Alawar Entertainment
FRANCHISE: Alawar Entertainment
RELEASE DATE: 29 Nov, 2017","29 Nov, 2017",Adventure Casual Indie Strategy Addictive +,
108,Redneck Kentucky and the Next Generation Chickens,,,,,,(47 reviews),City Interactive S.A.,City Interactive S.A.,Positive,,"TITLE: Redneck Kentucky and the Next Generation Chickens
GENRE: Action
DEVELOPER: City Interactive S.A.
PUBLISHER: City Interactive S.A.
RELEASE DATE: 2 Feb, 2007","2 Feb, 2007",Action +,
109,Silverworld,Bundle info,,,,,(22 reviews),Choice of Games,Choice of Games,Positive,,"TITLE: Silverworld
GENRE: Adventure, Indie, RPG
DEVELOPER: Choice of Games
PUBLISHER: Choice of Games
RELEASE DATE: 12 Apr, 2018","12 Apr, 2018",Adventure RPG Indie Text-Based +,
110,The Technician,,,,,,(22 reviews),Dumb Game Company,Dumb Game Company,Positive,,"TITLE: The Technician
GENRE: Action, Indie, Early Access
DEVELOPER: Dumb Game Company
PUBLISHER: Dumb Game Company
RELEASE DATE: 10 Dec, 2018
EARLY ACCESS RELEASE DATE: 10 Dec, 2018","10 Dec, 2018",Action Indie Early Access VR Puzzle +,
111,Planetary Dustoff,,,,,,(41 reviews),Rymdfall AB,Rymdfall AB,Positive,,"TITLE: Planetary Dustoff
GENRE: Action, Indie
DEVELOPER: Rymdfall AB
PUBLISHER: Rymdfall AB
RELEASE DATE: 20 Feb, 2019
EARLY ACCESS RELEASE DATE: 20 Feb, 2019","20 Feb, 2019",Action Roguelike Indie Action Roguelite Loot +,
112,Qvabllock,,,,,,(15 reviews),NedoStudio,NedoStudio,Positive,,"TITLE: Qvabllock
GENRE: Casual, Indie
DEVELOPER: NedoStudio
PUBLISHER: NedoStudio
RELEASE DATE: 30 Apr, 2018","30 Apr, 2018",Indie Casual 2D Puzzle Atmospheric +,
113,Wheelchair Simulator VR,"12,49€",,,,,(12 reviews),ViRa Games,ViRa Games,Positive,,"TITLE: Wheelchair Simulator VR
GENRE: Adventure, Indie, Simulation
DEVELOPER: ViRa Games
PUBLISHER: ViRa Games
RELEASE DATE: 8 May, 2018","8 May, 2018",Adventure Indie Simulation VR +,
114,Hyperspace Dogfights,Bundle info,,,,,(49 reviews),Sleeper Games,Sleeper Games,Positive,,"TITLE: Hyperspace Dogfights
GENRE: Action, Indie
DEVELOPER: Sleeper Games
PUBLISHER: Sleeper Games
FRANCHISE: Hyperspace
RELEASE DATE: 14 May, 2018","14 May, 2018",Roguelite Loot Bullet Hell Sci-fi Colorful +,60.0
115,Mirror Drop,,,,,,(49 reviews),Ian Lilley,Ian Lilley,Positive,,"TITLE: Mirror Drop
GENRE: Indie
DEVELOPER: Ian Lilley
PUBLISHER: Ian Lilley
RELEASE DATE: 18 May, 2018","18 May, 2018",Puzzle Casual Indie Psychedelic +,
116,Where Thoughts Go,"8,19€",,,,,(21 reviews),Lucas Rizzotto,Thought Co.,Positive,,"TITLE: Where Thoughts Go
GENRE: Casual, Indie
DEVELOPER: Lucas Rizzotto
PUBLISHER: Thought Co.
FRANCHISE: Where Thoughts Go
RELEASE DATE: 8 Nov, 2018","8 Nov, 2018",Casual Indie VR +,
117,Community College Hero: Knowledge is Power,,,,,,(26 reviews),Hosted Games,Hosted Games,Positive,,"TITLE: Community College Hero: Knowledge is Power
GENRE: Adventure, Indie, RPG
DEVELOPER: Hosted Games
PUBLISHER: Hosted Games
RELEASE DATE: 17 May, 2018","17 May, 2018",Indie Adventure RPG Text-Based Superhero +,
118,Pale Cachexia,,,,,,(10 reviews),Argent Games,Argent Games,Positive,,"TITLE: Pale Cachexia
GENRE: Casual
DEVELOPER: Argent Games
PUBLISHER: Argent Games
RELEASE DATE: 14 Apr, 2021","14 Apr, 2021",Visual Novel Gothic Dark Fantasy Dark Cute +,
119,Yakuza Kiss,,,,,,(37 reviews),Pink Potion,Pink Potion,Positive,,"TITLE: Yakuza Kiss
GENRE: Indie, Early Access
DEVELOPER: Pink Potion
PUBLISHER: Pink Potion
RELEASE DATE: 19 Jun, 2018","19 Jun, 2018",Indie Visual Novel Otome Female Protagonist +,
120,Pride Run,,,,,,(11 reviews),Steam Factory,Green Man Gaming Publishing,Positive,,"TITLE: Pride Run
GENRE: Casual, Indie, Strategy
DEVELOPER: Steam Factory, Hard Ton, IV Productions
PUBLISHER: Green Man Gaming Publishing
RELEASE DATE: 11 Oct, 2019","11 Oct, 2019",Casual Indie Strategy LGBTQ+ Nudity +,
121,Open The Door,,,,,,(13 reviews),CAIKAI,CAIKAI,Positive,,"TITLE: Open The Door
GENRE: Casual, Indie, Simulation
DEVELOPER: CAIKAI
PUBLISHER: CAIKAI
RELEASE DATE: 30 Nov, 2018","30 Nov, 2018",Indie Casual Simulation Puzzle Physics +,
122,Raccoo Venture,,,,,,(48 reviews),Diego Ras,Diego Ras,Positive,,"TITLE: Raccoo Venture
GENRE: Action, Adventure, Indie, Early Access
DEVELOPER: Diego Ras
PUBLISHER: Diego Ras
RELEASE DATE: 11 Dec, 2019
EARLY ACCESS RELEASE DATE: 11 Dec, 2019","11 Dec, 2019",Early Access Exploration 3D Platformer Puzzle +,17.0
123,祛魅·教化（祛魅1）,"2,39€",,,,,(45 reviews),LU QI,LU QI,Mostly Positive,,"TITLE: 祛魅·教化（祛魅1）
GENRE: Indie, RPG
DEVELOPER: LU QI
PUBLISHER: LU QI
FRANCHISE: 祛魅
RELEASE DATE: 8 May, 2018","8 May, 2018",JRPG Party-Based RPG Female Protagonist +,
124,蝶生梦影-Butterfly dream shadow,"2,39€",,,,,(18 reviews),闪金游戏,闪金游戏,Positive,,"TITLE: 蝶生梦影-Butterfly dream shadow
GENRE: Casual
DEVELOPER: 闪金游戏
PUBLISHER: 闪金游戏
FRANCHISE: 蝶生梦影
RELEASE DATE: 2 Feb, 2019
EARLY ACCESS RELEASE DATE: 2 Feb, 2019","2 Feb, 2019",Casual Visual Novel Otome Anime 2D +,
125,Lost Flame,,,,,,(18 reviews),Bartosz Bojarowski,Bartosz Bojarowski,Positive,,"TITLE: Lost Flame
GENRE: Indie, RPG, Early Access
DEVELOPER: Bartosz Bojarowski
PUBLISHER: Bartosz Bojarowski
RELEASE DATE: 2 Aug, 2019
EARLY ACCESS RELEASE DATE: 2 Aug, 2019","2 Aug, 2019",Roguelike Indie RPG Early Access Difficult +,
126,Beacon,,,,,,(32 reviews),Monothetic LLC,Monothetic LLC,Positive,,"TITLE: Beacon
GENRE: Action, Indie, Early Access
DEVELOPER: Monothetic LLC
PUBLISHER: Monothetic LLC
RELEASE DATE: 27 Feb, 2019
EARLY ACCESS RELEASE DATE: 27 Feb, 2019","27 Feb, 2019",Early Access Action Roguelike Female Protagonist +,
127,"Snake, snake, snake!",,,,,,(13 reviews),Growfall Games,Growfall Games,Positive,,"TITLE: Snake, snake, snake!
GENRE: Action, Casual, Indie
DEVELOPER: Growfall Games
PUBLISHER: Growfall Games
FRANCHISE: Growfall Games
RELEASE DATE: 18 May, 2018","18 May, 2018",Indie Casual Action +,
128,in My MIND.,Bundle info,,,,,(31 reviews),P.S.B (iNsOoL),PsychoFlux Entertainment,Positive,,"TITLE: in My MIND.
GENRE: Action, Casual, Indie
DEVELOPER: P.S.B (iNsOoL)
PUBLISHER: PsychoFlux Entertainment
FRANCHISE: PsychoFlux Presents
RELEASE DATE: 4 Sep, 2018","4 Sep, 2018",Action Casual Indie Shooter 2D Arcade +,
129,Paper Valley,"10,79€",,,,,(10 reviews),Vitei Backroom Inc,Vitei Backroom Inc,Positive,,"TITLE: Paper Valley
GENRE: Adventure, Casual, Indie
DEVELOPER: Vitei Backroom Inc
PUBLISHER: Vitei Backroom Inc
RELEASE DATE: 6 Jun, 2018","6 Jun, 2018",Casual Adventure Indie VR Family Friendly +,
130,Cubers: Arena,,,,,,(11 reviews),Tomasz Dziobek (TomiGames),Teyon,Positive,,"TITLE: Cubers: Arena
GENRE: Action, Indie, RPG
DEVELOPER: Tomasz Dziobek (TomiGames)
PUBLISHER: Teyon
RELEASE DATE: 28 Jul, 2020","28 Jul, 2020",Action RPG Indie Hack and Slash Cartoony +,
131,KO Mech,Bundle info,,,,,(22 reviews),ektomarch,ektomarch,Positive,,"TITLE: KO Mech
GENRE: Action, Indie
DEVELOPER: ektomarch
PUBLISHER: ektomarch
RELEASE DATE: 19 Jul, 2018","19 Jul, 2018",Action Indie Mechs 2.5D Fast-Paced +,
132,Waterside Chirping 水畔空蝉,"0,79€",,,,,(30 reviews),凝冰剑斩,凝冰剑斩,Positive,,"TITLE: Waterside Chirping 水畔空蝉
GENRE: Indie, RPG
DEVELOPER: 凝冰剑斩
PUBLISHER: 凝冰剑斩
RELEASE DATE: 1 Aug, 2018","1 Aug, 2018",Indie RPG Visual Novel Female Protagonist +,
133,SilverFrame(纯白星原),,,,,,(49 reviews),phixcat,phixcat,Positive,,"TITLE: SilverFrame(纯白星原)
GENRE: Action, Indie
DEVELOPER: phixcat
PUBLISHER: phixcat
RELEASE DATE: 31 Mar, 2021
EARLY ACCESS RELEASE DATE: 5 Oct, 2018","31 Mar, 2021",Action Indie Space Mechs Flight Shooter +,
134,NIGHTSTAR: Alliance,"8,19€",,,,,(48 reviews),Tiny Leviathan Studios,Tiny Leviathan Studios,Positive,,"TITLE: NIGHTSTAR: Alliance
GENRE: Action
DEVELOPER: Tiny Leviathan Studios
PUBLISHER: Tiny Leviathan Studios
RELEASE DATE: 10 Mar, 2019","10 Mar, 2019",Action VR Space Arcade Shooter +,
135,Don't Look Down,"12,49€",,,,,(12 reviews),Catapult Games,Catapult Games,Positive,,"TITLE: Don't Look Down
GENRE: Action, Indie, Racing
DEVELOPER: Catapult Games
PUBLISHER: Catapult Games
RELEASE DATE: 18 Apr, 2019","18 Apr, 2019",Action Indie Racing VR Arcade Parkour +,
136,She is Mermaid,,,,,,(36 reviews),COSEN,Narrator,Positive,,"TITLE: She is Mermaid
GENRE: Indie
DEVELOPER: COSEN, TALESSHOP
PUBLISHER: Narrator
RELEASE DATE: 8 Sep, 2018","8 Sep, 2018",Indie Visual Novel Anime +,
137,Ink Cipher,,,,,,(11 reviews),Chequered Ink Ltd.,Chequered Ink Ltd.,Positive,,"TITLE: Ink Cipher
GENRE: Casual
DEVELOPER: Chequered Ink Ltd.
PUBLISHER: Chequered Ink Ltd.
RELEASE DATE: 2 Jul, 2018","2 Jul, 2018",Casual +,3.0
138,Adapt or Perish,,,,,,(37 reviews),Phr00t's Software,Phr00t's Software,Positive,,"TITLE: Adapt or Perish
GENRE: Action, Indie, Strategy
DEVELOPER: Phr00t's Software
PUBLISHER: Phr00t's Software
RELEASE DATE: 11 Feb, 2019","11 Feb, 2019",Action Indie Strategy Procedural Generation +,
139,Hatch,,,,,,(33 reviews),Rubeki,Rubeki,Positive,,"TITLE: Hatch
GENRE: Action, Adventure, Indie
DEVELOPER: Rubeki
PUBLISHER: Rubeki
RELEASE DATE: 16 Sep, 2019","16 Sep, 2019",First-Person Indie Action Parkour Platformer +,
140,Burden of Proof,,,,,,(20 reviews),RobProductions,RobProductions,Positive,,"TITLE: Burden of Proof
GENRE: Adventure, Casual, Indie
DEVELOPER: RobProductions
PUBLISHER: RobProductions
RELEASE DATE: 26 Jul, 2018","26 Jul, 2018",Adventure Indie Casual Puzzle Crime +,
141,Moss Destruction,,,,,,(11 reviews),Shotgun with Glitters,Shotgun with Glitters,Positive,,"TITLE: Moss Destruction
GENRE: Action, Indie
DEVELOPER: Shotgun with Glitters
PUBLISHER: Shotgun with Glitters
RELEASE DATE: 1 Mar, 2019","1 Mar, 2019",Action Indie Roguelite Twin Stick Shooter +,
142,BIG POGO MAN,,,,,,(40 reviews),WooJuDev,WooJuDev,Positive,,"TITLE: BIG POGO MAN
GENRE: Adventure, Casual, Indie, Sports
DEVELOPER: WooJuDev
PUBLISHER: WooJuDev
RELEASE DATE: 25 Jun, 2018","25 Jun, 2018",Sports Adventure Indie Casual +,
143,Hyperspace Delivery Service,,,,,,(33 reviews),Zotnip,Zotnip,Positive,,"TITLE: Hyperspace Delivery Service
GENRE: Action, Adventure, Indie, Simulation, Strategy
DEVELOPER: Zotnip
PUBLISHER: Zotnip
RELEASE DATE: 5 Jun, 2019","5 Jun, 2019",Indie Simulation Adventure Action Strategy +,
144,It's You: A Breakup Story,,,,,,(36 reviews),Brwarner Studios,Brwarner Studios,Positive,,"TITLE: It's You: A Breakup Story
GENRE: Indie
DEVELOPER: Brwarner Studios
PUBLISHER: Brwarner Studios
RELEASE DATE: 1 Aug, 2018","1 Aug, 2018",Indie Choices Matter Romance Drama +,
145,Core Awaken ~The Yuka~,"8,19€",,,Download,,(20 reviews),Celusis,CelLab,Positive,,"TITLE: Core Awaken ~The Yuka~
GENRE: Action, Indie
DEVELOPER: Celusis
PUBLISHER: CelLab
RELEASE DATE: 10 Jul, 2018","10 Jul, 2018",Action Indie Anime Nudity Sexual Content +,
146,Epic Skater 2,,,,,,(15 reviews),Your Daily Fill,Your Daily Fill,Positive,,"TITLE: Epic Skater 2
GENRE: Action, Indie, Sports
DEVELOPER: Your Daily Fill
PUBLISHER: Your Daily Fill
RELEASE DATE: 8 Nov, 2018","8 Nov, 2018",Sports Action Indie Skateboarding Platformer +,
147,Cavesweeper,,,,,,(13 reviews),bankbank,Wainstop James,Positive,,"TITLE: Cavesweeper
GENRE: Adventure, Casual, Indie, Strategy
DEVELOPER: bankbank
PUBLISHER: Wainstop James
RELEASE DATE: 4 Jul, 2018","4 Jul, 2018",Roguelite Roguelike Board Game Loot Indie +,
148,Synthwave Dream '85,,,,,,(38 reviews),LoneDev,LoneDev,Positive,,"TITLE: Synthwave Dream '85
GENRE: Indie, Racing, Simulation, Early Access
DEVELOPER: LoneDev
PUBLISHER: LoneDev
RELEASE DATE: 31 Aug, 2018","31 Aug, 2018",Early Access Split Screen Cyberpunk Runner +,
149,Another Otter,,,,,,(10 reviews),PepoLab,PepoLab,Positive,,"TITLE: Another Otter
GENRE: Casual, Indie
DEVELOPER: PepoLab
PUBLISHER: PepoLab
RELEASE DATE: 16 Jul, 2018","16 Jul, 2018",Indie Casual +,
150,The Sunny Day 晴天,"1,59€",,,,,(48 reviews),殇葵(K.),Ningbing Games,Positive,,"TITLE: The Sunny Day 晴天
GENRE: Adventure, Indie
DEVELOPER: 殇葵(K.)
PUBLISHER: Ningbing Games
RELEASE DATE: 5 Jul, 2018","5 Jul, 2018",Indie Adventure RPGMaker Female Protagonist +,
151,Warman,,,,,,(30 reviews),Oleg Dammer,Oleg Dammer,Positive,,"TITLE: Warman
GENRE: Action, Adventure, Indie, RPG, Early Access
DEVELOPER: Oleg Dammer
PUBLISHER: Oleg Dammer
RELEASE DATE: 29 Jul, 2019
EARLY ACCESS RELEASE DATE: 29 Jul, 2019","29 Jul, 2019",Action Roguelike Indie Action Adventure Loot +,36.0
